id,blacklist,code,blacklist_date,ean,currency_id/id,chk4zip,inue_date,chk4addr,insepa_date,ufficioiva,insepa,inue
base.ad,True,AD,2009-01-01,,base.EUR,,,,,4,False,False
base.ae,True,AE,2009-01-01,,base.AED,,,,,796,False,False
base.af,False,AF,,,base.AFN,,,,,2,False,False
base.ag,True,AG,2009-01-01,,base.XCD,,,,,197,False,False
base.ai,True,AI,2009-01-01,,base.XCD,,,,,209,False,False
base.al,False,AL,,,base.ALL,,,,,87,False,False
base.am,False,AM,,,base.AMD,,,,,266,False,False
base.an,False,AN,,,base.NOK,,,,,251,False,False
base.ao,True,AO,2009-01-01,,base.AOA,,,,,133,False,False
base.aq,False,AQ,,,base.XCD,,,,,,False,False
base.ar,False,AR,,,base.ARS,,,,,6,False,False
base.as,False,AS,,,base.USD,,,,,148,False,False
base.at,False,AT,,,base.EUR,,1995-01-01,,2008-01-01,8,True,True
base.au,False,AU,,,base.AUD,,,,,7,False,False
base.aw,True,AW,2009-01-01,,base.AWG,,,,,212,False,False
base.ax,False,AX,,,base.EUR,,1995-01-01,,2008-01-01,292,True,True
base.az,False,AZ,,,base.AZN,,,,,268,False,False
base.ba,False,BA,,,base.BAM,,,,,274,False,False
base.bb,True,BB,2009-01-01,,base.BBD,,,,,118,False,False
base.bd,False,BD,,,base.BDT,,,,,130,False,False
base.be,False,BE,,,base.EUR,,1958-01-01,,2008-01-01,9,True,True
base.bf,False,BF,,,base.XOF,,,,,142,False,False
base.bg,False,BG,,,base.BGN,,2007-01-01,,2008-01-01,12,True,True
base.bh,True,BH,2009-01-01,,base.BHD,,,,,169,False,False
base.bi,False,BI,,,base.BIF,,,,,25,False,False
base.bj,False,BJ,,,base.XOF,,,,,158,False,False
base.bl,False,BL,,,base.EUR,,,,,293,False,False
base.bm,True,BM,2009-01-01,,base.BMD,,,,,207,False,False
base.bn,True,BN,2009-01-01,,base.BND,,,,,125,False,False
base.bo,False,BO,,,base.BOB,,,,,10,False,False
base.bq,False,BQ,,,base.USD,,,,,295,False,False
base.br,False,BR,,,base.BRL,,,,,11,False,False
base.bs,True,BS,2009-01-01,,base.BSD,,,,,160,False,False
base.bt,False,BT,,,base.BTN,,,,,97,False,False
base.bv,False,BV,,,base.NOK,,,,,280,False,False
base.bw,False,BW,,,base.BWP,,,,,98,False,False
base.by,False,BY,,,base.BYR,,,,,264,False,False
base.bz,True,BZ,2009-01-01,,base.BZD,,,,,198,False,False
base.ca,False,CA,,,base.CAD,,,,,13,False,False
base.cc,False,CC,,,base.AUD,,,,,281,False,False
base.cd,False,CD,,,base.CDF,,,,,18,False,False
base.cf,False,CF,,,base.XAF,,,,,143,False,False
base.cg,False,CG,,,base.XAF,,,,,145,False,False
base.ch,True,CH,2009-01-01,,base.CHF,,,,2008-01-01,71,True,False
base.ci,False,CI,,,base.XOF,,,,,146,False,False
base.ck,True,CK,2009-01-01,,base.NZD,,,,,237,False,False
base.cl,False,CL,,,base.AUD,,,,,15,False,False
base.cm,False,CM,,,base.XAF,,,,,119,False,False
base.cn,False,CN,,,base.CNY,,,,,16,False,False
base.co,False,CO,,,base.COP,,,,,17,False,False
base.cr,True,CR,2009-01-01,,base.CRC,,,,,19,False,False
base.cu,False,CU,,,base.CUP,,,,,20,False,False
base.cv,False,CV,,,base.CVE,,,,,188,False,False
base.cw,False,CW,,,base.ANG,,,,,296,False,False
base.cx,False,CX,,,base.AUD,,,,,282,False,False
base.cy,False,CY,2010-08-17,,base.EUR,,2004-05-01,,2008-01-01,101,True,True
