code,spesometro_escludi
ITC0V,0
ITC0D,0
ITD0V,0
ITD0D,0
ITP0V,0
ITP0D,0
ITS0V,0
ITS0D,0
ITC0N,0
ITC22V,0
ITC22D,0
ITD22V,0
ITD22D,0
ITP22V,0
ITP22D,0
ITS22V,0
ITS22D,0
ITC22N,0
ITC22I,0
ITC22d20N,0
ITC22d20V,0
ITC22d20D,0
ITC22d50N,0
ITC22d50V,0
ITC22d50D,0
ITC22d70N,0
ITC22d70V,0
ITC22d70D,0
ITC22d80N,0
ITC22d80V,0
ITC22d80D,0
ITC4V,0
ITC4D,0
ITD4V,0
ITD4D,0
ITC4N,0
ITC4I,0
ITC4d50N,0
ITC4d50V,0
ITC4d50D,0
ITC10V,0
ITC10D,0
ITD10V,0
ITD10D,0
ITC10N,0
ITC10I,0
ITC10d50N,0
ITC10d50V,0
ITC10d50D,0
ITC20V,0
ITC20D,0
ITD20V,0
ITD20D,0
ITC20N,0
ITC20I,0
ITC20d15N,0
ITC20d15V,0
ITC20d15D,0
ITC20d20N,0
ITC20d20V,0
ITC20d20D,0
ITC20d40N,0
ITC20d40V,0
ITC20d40D,0
ITC20d50N,0
ITC20d50V,0
ITC20d50D,0
ITC21V,0
ITC21D,0
ITD21V,0
ITD21D,0
ITC21N,0
ITC21I,0
ITC21d20N,0
ITC21d20V,0
ITC21d20D,0
ITC21d40N,0
ITC21d40V,0
ITC21d40D,0
ITC21d50N,0
ITC21d50V,0
ITC21d50D,0
ITC21d70N,0
ITC21d70V,0
ITC21d70D,0
ITC21d80N,0
ITC21d80V,0
ITC21d80D,0
ITC21d90N,0
ITC21d90V,0
ITC21d90D,0
ITCa1D,1
ITDa1D,1
ITCa2D,1
ITDa2D,1
ITCa7D,1
ITDa7D,1
ITCa7tD,1
ITDa7tD,1
ITCa8aD,1
ITDa8aD,1
ITCa8c2D,1
ITDa8c2D,1
ITCa9D,1
ITDa9D,1
ITCa10D,1
ITDa10D,1
ITCa10c5D,1
ITDa10c5D,1
ITCa13D,1
ITDa13D,1
ITCa15D,1
ITDa15D,1
ITCa17D,1
ITDa17D,1
ITCa17c2V,1
ITCa17c2D,1
ITDa17c2V,1
ITDa17c2D,1
ITCa17c6V,1
ITCa17c6D,1
ITDa17c6V,1
ITDa17c6D,1
ITCl41a36D,1
ITDl41a36D,1
ITCl41a37D,1
ITDl41a37D,1
ITCa38V,1
ITCa38D,1
ITDa38V,1
ITDa38D,1
ITCa41D,1
ITDa41D,1
ITCl244D,1
ITDl244D,1
ITCl98a27D,1
ITDl98a27D,1
